,filename,in_channels,out_channels,kernel_size,stride,padding,bias,input_spatial_x,input_spatial_y,ops,params
0,vgg/vgg16_0.onnx,3,64,"(3, 3)","(1, 1)","(1, 1)",True,224,224,86704128.0,1792
1,vgg/vgg16_1.onnx,64,64,"(3, 3)","(1, 1)","(1, 1)",True,224,224,1849688064.0,36928
2,vgg/vgg16_2.onnx,64,128,"(3, 3)","(1, 1)","(1, 1)",True,112,112,924844032.0,73856
3,vgg/vgg16_3.onnx,128,128,"(3, 3)","(1, 1)","(1, 1)",True,112,112,1849688064.0,147584
4,vgg/vgg16_4.onnx,128,128,"(3, 3)","(1, 1)","(1, 1)",True,112,112,1849688064.0,147584
5,vgg/vgg16_5.onnx,128,256,"(3, 3)","(1, 1)","(1, 1)",True,56,56,924844032.0,295168
6,vgg/vgg16_6.onnx,256,256,"(3, 3)","(1, 1)","(1, 1)",True,56,56,1849688064.0,590080
7,vgg/vgg16_7.onnx,256,256,"(3, 3)","(1, 1)","(1, 1)",True,56,56,1849688064.0,590080
8,vgg/vgg16_8.onnx,256,256,"(3, 3)","(1, 1)","(1, 1)",True,56,56,1849688064.0,590080
9,vgg/vgg16_9.onnx,256,512,"(3, 3)","(1, 1)","(1, 1)",True,28,28,924844032.0,1180160
10,vgg/vgg16_10.onnx,512,512,"(3, 3)","(1, 1)","(1, 1)",True,28,28,1849688064.0,2359808
11,vgg/vgg16_11.onnx,512,512,"(3, 3)","(1, 1)","(1, 1)",True,28,28,1849688064.0,2359808
12,vgg/vgg16_12.onnx,512,512,"(3, 3)","(1, 1)","(1, 1)",True,28,28,1849688064.0,2359808
